id,node_id,implementation_proof,test_proof,runtime_proof,connection_proof,documentation_proof,overall_status,last_verified_at,missing_evidence,next_action
EVID-AUTO-00008,DOC-ARCH-README,docs/architecture/README.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;AGENT-COORDINATOR,docs/architecture/README.md;docs/engineering/testing.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00009,API-DEPARTMENTS-LIST,src/modules/departments/departments.routes.ts,TEST-API-LOCAL;Browser rendered department catalog proof,docs/status/architecture-evidence-summary.md,DB-WORKSPACE-DEPARTMENTS;COMP-MANAGEMENT-ROUTE;COMP-SHELL;API-DEPARTMENTS-LIST,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00010,API-DEPARTMENTS-CREATE,src/modules/departments/departments.routes.ts,TEST-API-LOCAL;Browser rendered department catalog proof,docs/status/architecture-evidence-summary.md,DB-WORKSPACE-DEPARTMENTS;COMP-MANAGEMENT-ROUTE;API-DEPARTMENTS-CREATE,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00011,API-DEPARTMENTS-UPDATE,src/modules/departments/departments.routes.ts,TEST-API-LOCAL;Browser rendered department catalog proof,docs/status/architecture-evidence-summary.md,DB-WORKSPACE-DEPARTMENTS;COMP-MANAGEMENT-ROUTE;API-DEPARTMENTS-UPDATE,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00012,DB-WORKSPACE-DEPARTMENTS,prisma/schema.prisma,TEST-API-LOCAL;Browser rendered department catalog proof,npm run test:api:local,API-DEPARTMENTS-LIST;API-DEPARTMENTS-CREATE;API-DEPARTMENTS-UPDATE;COMP-SHELL;DB-WORKSPACE-DEPARTMENTS,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00013,COMP-MANAGEMENT-ROUTE,web/src/features/departments/management-route.tsx,TEST-BROWSER-MGMT-DEPT;Browser rendered department catalog proof,docs/status/architecture-evidence-summary.md,API-DEPARTMENTS-LIST;API-DEPARTMENTS-CREATE;API-DEPARTMENTS-UPDATE;COMP-CC-DATA-TABLE;COMP-SHELL;DB-WORKSPACE-DEPARTMENTS,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00014,COMP-SHELL,web/src/layout/shell.tsx,TEST-BROWSER-MGMT-DEPT,docs/status/architecture-evidence-summary.md,API-DEPARTMENTS-LIST;ROUTE-REGISTRY;DB-WORKSPACE-DEPARTMENTS,DOC-WEB-LAYER-OWNERSHIP,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00015,ROUTE-REGISTRY,web/src/app-route-registry.ts,TEST-ROUTE-CAPABILITY,docs/status/architecture-evidence-summary.md,DOC-WEB-LAYER-OWNERSHIP;COMP-SHELL,DOC-WEB-LAYER-OWNERSHIP,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00016,UI-MGMT-DEPARTMENT-FORM,web/src/features/departments/management-route.tsx,TEST-BROWSER-MGMT-DEPT,docs/status/architecture-evidence-summary.md,COMP-MANAGEMENT-ROUTE;API-DEPARTMENTS-CREATE;DB-WORKSPACE-DEPARTMENTS,DOC-MGMT-DEPT-CONTRACT,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00017,DOC-MGMT-DEPT-CONTRACT,docs/planning/management-department-catalog-task-contract.md,Browser rendered department catalog proof,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00018,DOC-DMS-ARCH,docs/architecture/department-management-systems-architecture.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;AGENT-COORDINATOR,docs/architecture/README.md;docs/engineering/testing.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00019,DOC-WEB-LAYER-OWNERSHIP,docs/architecture/web-layer-react-ownership.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;COMP-SHELL;ROUTE-REGISTRY,docs/architecture/README.md;docs/engineering/testing.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00020,API-OPERATIONS-WORK-ITEMS,src/modules/operations/operations.routes.ts,TEST-API-LOCAL;Playwright Operations render proof,docs/status/architecture-evidence-summary.md,DB-TASK;COMP-OPERATIONS-ROUTE;API-OPERATIONS-WORK-ITEMS,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00021,API-OPERATIONS-CREATE-WORK-ITEM,src/modules/operations/operations.routes.ts,TEST-API-LOCAL;Playwright Operations render proof,docs/status/architecture-evidence-summary.md,DB-TASK;COMP-OPERATIONS-ROUTE;API-OPERATIONS-CREATE-WORK-ITEM,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00022,API-OPERATIONS-UPDATE-WORK-ITEM,src/modules/operations/operations.routes.ts,TEST-API-LOCAL;Playwright Operations render proof,docs/status/architecture-evidence-summary.md,DB-TASK;COMP-OPERATIONS-ROUTE;API-OPERATIONS-UPDATE-WORK-ITEM,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00023,DB-TASK,prisma/schema.prisma,TEST-API-LOCAL;Playwright Operations render proof,npm run test:api:local,API-OPERATIONS-WORK-ITEMS;API-OPERATIONS-CREATE-WORK-ITEM;API-OPERATIONS-UPDATE-WORK-ITEM;COMP-OPERATIONS-ROUTE;DB-TASK,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00024,COMP-OPERATIONS-ROUTE,web/src/features/departments/operations-route.tsx,TEST-PLAYWRIGHT-OPS;Playwright Operations render proof,docs/status/architecture-evidence-summary.md,API-OPERATIONS-WORK-ITEMS;API-OPERATIONS-CREATE-WORK-ITEM;API-OPERATIONS-UPDATE-WORK-ITEM;COMP-CC-DATA-TABLE;COMP-SHELL;DB-TASK,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00025,UI-OPERATIONS-TASK-CARD,web/src/features/departments/operations-route.tsx,TEST-PLAYWRIGHT-OPS,docs/status/architecture-evidence-summary.md,COMP-OPERATIONS-ROUTE;API-OPERATIONS-UPDATE-WORK-ITEM;DB-TASK,DOC-OPS-WORK-ITEM-CONTRACT,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00026,EVENT-OPERATIONS-WORK-ITEM-CREATED,src/modules/operations/operations.routes.ts,TEST-API-LOCAL;Playwright Operations render proof,docs/status/architecture-evidence-summary.md,API-OPERATIONS-CREATE-WORK-ITEM;API-DASHBOARD-COMMAND;DB-TASK,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00027,DOC-OPS-WORK-ITEM-CONTRACT,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,Playwright Operations render proof,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00028,API-DASHBOARD-COMMAND,src/modules/dashboard/dashboard.routes.ts,TEST-API-LOCAL;Playwright dashboard render proof,docs/status/architecture-evidence-summary.md,DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE;COMP-GENERAL-DASHBOARD;API-DASHBOARD-COMMAND,DOC-DASHBOARD-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00029,COMP-GENERAL-DASHBOARD,web/src/features/departments/general-dashboard.tsx,TEST-PLAYWRIGHT-DASHBOARD;Playwright dashboard render proof,docs/status/architecture-evidence-summary.md,API-DASHBOARD-COMMAND;COMP-SHELL;DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE,DOC-DASHBOARD-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00030,UI-DASHBOARD-NEXT-ACTION,web/src/features/departments/general-dashboard.tsx,TEST-PLAYWRIGHT-DASHBOARD,docs/status/architecture-evidence-summary.md,COMP-GENERAL-DASHBOARD;API-DASHBOARD-COMMAND;DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE,DOC-DASHBOARD-CONTRACT,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00031,DOC-DASHBOARD-CONTRACT,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,Playwright dashboard render proof,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00032,API-WORKFORCE-LIST,src/modules/workforce/workforce.routes.ts,TEST-API-LOCAL;Playwright People/Agents proof,docs/status/architecture-evidence-summary.md,DB-WORKFORCE-ENTITY;COMP-PEOPLE-AGENTS-ROUTE;API-WORKFORCE-LIST,DOC-PEOPLE-AGENTS-CONTRACT;docs/planning/people-agents-directory-premium-ux-task-contract.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00033,DB-WORKFORCE-ENTITY,prisma/schema.prisma,TEST-API-LOCAL;Playwright People/Agents proof,npm run test:api:local,API-WORKFORCE-LIST;COMP-PEOPLE-AGENTS-ROUTE;DB-WORKFORCE-ENTITY,DOC-PEOPLE-AGENTS-CONTRACT;docs/planning/people-agents-directory-premium-ux-task-contract.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00034,COMP-PEOPLE-AGENTS-ROUTE,web/src/features/departments/people-agents-route.tsx,TEST-PLAYWRIGHT-PEOPLE;Playwright People/Agents proof,docs/status/architecture-evidence-summary.md,API-WORKFORCE-LIST;COMP-CC-DATA-TABLE;COMP-SHELL;DB-WORKFORCE-ENTITY,DOC-PEOPLE-AGENTS-CONTRACT;docs/planning/people-agents-directory-premium-ux-task-contract.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00035,UI-PEOPLE-AGENTS-TABLE,web/src/features/departments/people-agents-route.tsx,TEST-PLAYWRIGHT-PEOPLE,docs/status/architecture-evidence-summary.md,COMP-CC-DATA-TABLE;API-WORKFORCE-LIST;COMP-PEOPLE-AGENTS-ROUTE;DB-WORKFORCE-ENTITY,DOC-PEOPLE-AGENTS-CONTRACT,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00036,DOC-PEOPLE-AGENTS-CONTRACT,docs/planning/people-agents-directory-premium-ux-task-contract.md,Playwright People/Agents proof,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,docs/planning/people-agents-directory-premium-ux-task-contract.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00037,DOC-UNIFIED-ORG,docs/architecture/unified-organizational-operating-system.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;AGENT-COORDINATOR,docs/architecture/README.md;docs/engineering/testing.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00038,API-ASSETS-CONTEXT,src/modules/assets/assets.routes.ts,TEST-API-LOCAL;Playwright Assets proof,docs/status/architecture-evidence-summary.md,DB-GOOGLE-DRIVE-FILE;COMP-ASSETS-ROUTE;API-ASSETS-CONTEXT,DOC-ASSETS-CONTEXT-CONTRACT;docs/planning/cc-08-002-assets-context-read-api-task-contract.md,tested,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00039,DB-GOOGLE-DRIVE-FILE,prisma/schema.prisma,TEST-API-LOCAL;Playwright Assets proof,npm run test:api:local,API-ASSETS-CONTEXT;COMP-ASSETS-ROUTE;DB-GOOGLE-DRIVE-FILE,DOC-ASSETS-CONTEXT-CONTRACT;docs/planning/cc-08-002-assets-context-read-api-task-contract.md,tested,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00040,COMP-ASSETS-ROUTE,web/src/features/departments/assets-route.tsx,TEST-PLAYWRIGHT-ASSETS;Playwright Assets proof,docs/status/architecture-evidence-summary.md,API-ASSETS-CONTEXT;COMP-SHELL;DB-GOOGLE-DRIVE-FILE,DOC-ASSETS-CONTEXT-CONTRACT;docs/planning/cc-08-002-assets-context-read-api-task-contract.md,verified,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00041,UI-ASSETS-FILE-PREVIEW,web/src/features/departments/assets-route.tsx,TEST-PLAYWRIGHT-ASSETS,docs/status/architecture-evidence-summary.md,COMP-ASSETS-ROUTE;API-ASSETS-CONTEXT;DB-GOOGLE-DRIVE-FILE,DOC-ASSETS-CONTEXT-CONTRACT,verified,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00042,DOC-ASSETS-CONTEXT-CONTRACT,docs/planning/cc-08-002-assets-context-read-api-task-contract.md,Playwright Assets proof,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,docs/planning/cc-08-002-assets-context-read-api-task-contract.md,verified,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00043,COMP-CC-DATA-TABLE,web/src/components/cc-data-table.tsx,TEST-PLAYWRIGHT-PEOPLE,docs/status/architecture-evidence-summary.md,DOC-DESIGN-MEMORY;COMP-PEOPLE-AGENTS-ROUTE;COMP-MANAGEMENT-ROUTE;COMP-OPERATIONS-ROUTE,DOC-SHARED-TABLE-CONTRACT,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00044,FEAT-MANAGED-TABLE,docs/planning/shared-managed-table-component-task-contract.md,TEST-PLAYWRIGHT-PEOPLE,docs/status/architecture-evidence-summary.md,DOC-DESIGN-MEMORY;COMP-PEOPLE-AGENTS-ROUTE;COMP-MANAGEMENT-ROUTE,DOC-SHARED-TABLE-CONTRACT,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00045,DOC-SHARED-TABLE-CONTRACT,docs/planning/shared-managed-table-component-task-contract.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,docs/architecture/nodes/generated/DOC-SHARED-TABLE-CONTRACT.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00046,DOC-DESIGN-MEMORY,docs/ux/design-memory.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;COMP-CC-DATA-TABLE,docs/architecture/README.md;docs/engineering/testing.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00047,TEST-API-LOCAL,scripts/test-api-local.mjs,,npm run validate,CONFIG-PACKAGE-JSON;AGENT-COORDINATOR,DOC-TESTING,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00048,TEST-ROUTE-CAPABILITY,scripts/check-route-capabilities.mjs,,npm run validate,CONFIG-PACKAGE-JSON;AGENT-COORDINATOR,DOC-TESTING,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00049,TEST-ARCH-GRAPH,scripts/generate-architecture-graph.mjs,npm run architecture:graph,npm run validate,CSV-NODES;CSV-RELATIONS;CSV-CHAINS;CSV-TESTS;AGENT-COORDINATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00050,TEST-BROWSER-MGMT-DEPT,docs/planning/management-department-catalog-task-contract.md,Browser rendered department catalog proof,npm run validate,COMP-MANAGEMENT-ROUTE;AGENT-COORDINATOR;API-DEPARTMENTS-CREATE;DB-WORKSPACE-DEPARTMENTS,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00051,TEST-PLAYWRIGHT-OPS,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,Playwright Operations render proof,npm run validate,COMP-OPERATIONS-ROUTE;AGENT-COORDINATOR;API-OPERATIONS-WORK-ITEMS;DB-TASK,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00052,TEST-PLAYWRIGHT-DASHBOARD,docs/planning/full-function-architecture-audit-task-contract.md,Playwright dashboard render proof,npm run validate,COMP-GENERAL-DASHBOARD;AGENT-COORDINATOR;API-DASHBOARD-COMMAND;DB-TASK;DB-WORKFORCE-ENTITY;DB-GOOGLE-DRIVE-FILE,DOC-DASHBOARD-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00053,TEST-PLAYWRIGHT-PEOPLE,docs/planning/people-agents-directory-premium-ux-task-contract.md,Playwright People/Agents proof,npm run validate,COMP-PEOPLE-AGENTS-ROUTE;AGENT-COORDINATOR;API-WORKFORCE-LIST;DB-WORKFORCE-ENTITY,DOC-PEOPLE-AGENTS-CONTRACT;docs/planning/people-agents-directory-premium-ux-task-contract.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00054,TEST-PLAYWRIGHT-ASSETS,docs/planning/assets-files-folders-premium-audit-task-contract.md,Playwright Assets proof,npm run validate,COMP-ASSETS-ROUTE;AGENT-COORDINATOR;API-ASSETS-CONTEXT;DB-GOOGLE-DRIVE-FILE,DOC-ASSETS-CONTEXT-CONTRACT;docs/planning/cc-08-002-assets-context-read-api-task-contract.md,verified,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00055,DOC-TESTING,docs/engineering/testing.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;AGENT-COORDINATOR,docs/architecture/README.md;docs/engineering/testing.md,verified,2026-05-18,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00056,AGENT-COORDINATOR,AGENTS.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,DOC-ARCH-EVIDENCE-SYSTEM;AGENT-COORDINATOR,DOC-ARCH-EVIDENCE-SYSTEM,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00057,CONFIG-PACKAGE-JSON,package.json,TEST-ARCH-GRAPH,npm run architecture:refresh,AGENT-COORDINATOR,DOC-TESTING,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00058,FUNC-ENSURE-DEFAULT-DEPARTMENTS,src/modules/departments/departments.routes.ts,TEST-API-LOCAL;Browser rendered department catalog proof,npm run test:api:local,DB-WORKSPACE-DEPARTMENTS;API-DEPARTMENTS-LIST,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00059,FUNC-SERIALIZE-DEPARTMENT,src/modules/departments/departments.routes.ts,TEST-BROWSER-MGMT-DEPT;Browser rendered department catalog proof,npm run test:api:local,DB-WORKSPACE-DEPARTMENTS;API-DEPARTMENTS-LIST;API-DEPARTMENTS-CREATE;API-DEPARTMENTS-UPDATE,DOC-MGMT-DEPT-CONTRACT;docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00060,FUNC-VISIBLE-WORK-ITEM-RELATIONS,src/modules/operations/operations.routes.ts,TEST-API-LOCAL;Playwright Operations render proof,npm run test:api:local,DB-TASK;API-OPERATIONS-CREATE-WORK-ITEM;API-OPERATIONS-UPDATE-WORK-ITEM,DOC-OPS-WORK-ITEM-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00061,FUNC-DASHBOARD-RISK-RANK,src/modules/dashboard/dashboard.routes.ts,TEST-API-LOCAL;Playwright dashboard render proof,npm run test:api:local,API-DASHBOARD-COMMAND,DOC-DASHBOARD-CONTRACT;docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00062,FUNC-GENERATE-ARCH-GRAPH,scripts/generate-architecture-graph.mjs,TEST-ARCH-GRAPH;npm run architecture:graph,npm run test:api:local,CSV-NODES;SCRIPT-ARCH-GRAPH-GENERATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
