id,source_id,target_id,relation_type,direction,description,status,evidence,notes,tags
REL-UI-001,COMP-PEOPLE-AGENTS-ROUTE,COMP-CC-DATA-TABLE,uses,outbound,People/Agents uses shared managed table.,verified,web/src/features/departments/people-agents-route.tsx,,#frontend #component
REL-UI-002,COMP-MANAGEMENT-ROUTE,COMP-CC-DATA-TABLE,uses,outbound,Management catalog follows managed table pattern where applicable.,partial,web/src/features/departments/management-route.tsx,Verify exact adoption details in next registry expansion.,#frontend #component
REL-TEST-001,TEST-API-LOCAL,API-DEPARTMENTS-LIST,covers,outbound,API local gate covers route/capability and migration path; dedicated assertions remain follow-up.,partial,docs/planning/management-department-catalog-task-contract.md,,#test
REL-TEST-002,TEST-BROWSER-MGMT-DEPT,COMP-MANAGEMENT-ROUTE,covers,outbound,Browser proof covers ManagementRoute behavior.,verified,docs/planning/management-department-catalog-task-contract.md,,#test
REL-AUTO-0001,FEAT-MGMT-DEPT-CATALOG,API-DEPARTMENTS-LIST,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0002,FEAT-MGMT-DEPT-CATALOG,API-DEPARTMENTS-CREATE,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0003,FEAT-MGMT-DEPT-CATALOG,API-DEPARTMENTS-UPDATE,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0004,API-DEPARTMENTS-UPDATE,DB-WORKSPACE-DEPARTMENTS,writes,outbound,API PATCH route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0005,FEAT-OPERATIONS-WORK-ITEMS,API-OPERATIONS-WORK-ITEMS,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0006,FEAT-OPERATIONS-WORK-ITEMS,API-OPERATIONS-CREATE-WORK-ITEM,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0007,FEAT-OPERATIONS-WORK-ITEMS,API-OPERATIONS-UPDATE-WORK-ITEM,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0008,API-OPERATIONS-UPDATE-WORK-ITEM,DB-TASK,writes,outbound,API PATCH route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0009,FEAT-DASHBOARD-COMMAND,API-DASHBOARD-COMMAND,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0010,FEAT-PEOPLE-AGENTS-DIRECTORY,API-WORKFORCE-LIST,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0011,FEAT-ASSETS-CONTEXT,API-ASSETS-CONTEXT,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0012,PAGE-00-GENERAL,API-DASHBOARD-COMMAND,calls,outbound,Page calls API route (auto-enriched).,partial,docs/architecture/nodes/pages.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #frontend #api
REL-AUTO-0013,PAGE-04-OPERATIONS-TASKS,API-OPERATIONS-WORK-ITEMS,calls,outbound,Page calls API route (auto-enriched).,partial,docs/architecture/nodes/pages.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #frontend #api
REL-AUTO-0014,PAGE-06-PEOPLE-AGENTS,API-WORKFORCE-LIST,calls,outbound,Page calls API route (auto-enriched).,partial,docs/architecture/nodes/pages.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #frontend #api
REL-AUTO-0015,PAGE-08-ASSETS-FILES,API-ASSETS-CONTEXT,calls,outbound,Page calls API route (auto-enriched).,partial,docs/architecture/nodes/pages.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #frontend #api
REL-AUTO-0016,PAGE-12-MANAGEMENT-DEPARTMENTS,API-DEPARTMENTS-LIST,calls,outbound,Page calls API route (auto-enriched).,partial,docs/architecture/nodes/pages.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #frontend #api
REL-AUTO-0017,FEAT-PEOPLE-AGENTS-DIRECTORY,API-AUTO-0020,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0018,API-AUTO-0020,DB-WORKFORCE-ENTITY,writes,outbound,API DELETE route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0019,FEAT-ASSETS-CONTEXT,API-AUTO-0026,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0020,API-AUTO-0026,DB-GOOGLE-DRIVE-FILE,reads,outbound,API GET route reads database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0021,FEAT-OPERATIONS-WORK-ITEMS,API-AUTO-0073,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0022,API-AUTO-0073,DB-TASK,reads,outbound,API GET route reads database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0023,FEAT-PEOPLE-AGENTS-DIRECTORY,API-AUTO-0087,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0024,API-AUTO-0087,DB-WORKFORCE-ENTITY,reads,outbound,API GET route reads database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0025,FEAT-ASSETS-CONTEXT,API-AUTO-0089,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0026,API-AUTO-0089,DB-GOOGLE-DRIVE-FILE,writes,outbound,API PATCH route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0027,FEAT-OPERATIONS-WORK-ITEMS,API-AUTO-0108,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0028,API-AUTO-0108,DB-TASK,writes,outbound,API PATCH route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0029,FEAT-PEOPLE-AGENTS-DIRECTORY,API-AUTO-0114,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0030,API-AUTO-0114,DB-WORKFORCE-ENTITY,writes,outbound,API PATCH route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0031,FEAT-PEOPLE-AGENTS-DIRECTORY,API-AUTO-0161,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0032,API-AUTO-0161,DB-WORKFORCE-ENTITY,writes,outbound,API POST route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0033,FEAT-PEOPLE-AGENTS-DIRECTORY,API-AUTO-0162,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0034,API-AUTO-0162,DB-WORKFORCE-ENTITY,writes,outbound,API POST route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0035,FEAT-PEOPLE-AGENTS-DIRECTORY,API-AUTO-0163,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0036,API-AUTO-0163,DB-WORKFORCE-ENTITY,writes,outbound,API POST route writes database surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #api #database
REL-AUTO-0037,FEAT-AUTO-0003,API-AUTO-0001,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0038,FEAT-AUTO-0004,API-AUTO-0002,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0039,FEAT-AUTO-0006,API-AUTO-0003,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0040,FEAT-AUTO-0008,API-AUTO-0004,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0041,FEAT-AUTO-0009,API-AUTO-0005,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0042,FEAT-AUTO-0012,API-AUTO-0006,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0043,FEAT-AUTO-0015,API-AUTO-0007,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0044,FEAT-AUTO-0016,API-AUTO-0008,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0045,FEAT-AUTO-0018,API-AUTO-0009,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0046,FEAT-AUTO-0020,API-AUTO-0010,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0047,FEAT-AUTO-0020,API-AUTO-0011,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0048,FEAT-AUTO-0020,API-AUTO-0012,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0049,FEAT-AUTO-0020,API-AUTO-0013,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0050,FEAT-AUTO-0020,API-AUTO-0014,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0051,FEAT-AUTO-0021,API-AUTO-0015,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0052,FEAT-AUTO-0022,API-AUTO-0016,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0053,FEAT-AUTO-0026,API-AUTO-0017,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0054,FEAT-AUTO-0027,API-AUTO-0018,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0055,FEAT-AUTO-0028,API-AUTO-0019,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0056,FEAT-AUTO-0001,API-AUTO-0021,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0057,FEAT-AUTO-0002,API-AUTO-0022,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0058,FEAT-AUTO-0002,API-AUTO-0023,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0059,FEAT-AUTO-0003,API-AUTO-0024,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0060,FEAT-AUTO-0003,API-AUTO-0025,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0061,FEAT-AUTO-0004,API-AUTO-0027,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0062,FEAT-AUTO-0004,API-AUTO-0028,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0063,FEAT-AUTO-0005,API-AUTO-0029,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0064,FEAT-AUTO-0006,API-AUTO-0030,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0065,FEAT-AUTO-0006,API-AUTO-0031,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0066,FEAT-AUTO-0006,API-AUTO-0032,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0067,FEAT-AUTO-0006,API-AUTO-0033,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0068,FEAT-AUTO-0006,API-AUTO-0034,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0069,FEAT-AUTO-0007,API-AUTO-0035,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0070,FEAT-AUTO-0008,API-AUTO-0036,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0071,FEAT-AUTO-0008,API-AUTO-0037,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0072,FEAT-AUTO-0009,API-AUTO-0038,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0073,FEAT-AUTO-0009,API-AUTO-0039,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0074,FEAT-AUTO-0010,API-AUTO-0040,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0075,FEAT-AUTO-0011,API-AUTO-0041,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0076,FEAT-AUTO-0012,API-AUTO-0042,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0077,FEAT-AUTO-0012,API-AUTO-0043,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0078,FEAT-AUTO-0013,API-AUTO-0044,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0079,FEAT-AUTO-0013,API-AUTO-0045,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0080,FEAT-AUTO-0014,API-AUTO-0046,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0081,FEAT-AUTO-0014,API-AUTO-0047,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0082,FEAT-AUTO-0015,API-AUTO-0048,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0083,FEAT-AUTO-0015,API-AUTO-0049,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0084,FEAT-AUTO-0015,API-AUTO-0050,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0085,FEAT-AUTO-0015,API-AUTO-0051,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0086,FEAT-AUTO-0015,API-AUTO-0052,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0087,FEAT-AUTO-0016,API-AUTO-0053,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0088,FEAT-AUTO-0016,API-AUTO-0054,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0089,FEAT-AUTO-0017,API-AUTO-0055,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0090,FEAT-AUTO-0018,API-AUTO-0056,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
REL-AUTO-0091,FEAT-AUTO-0018,API-AUTO-0057,owns,outbound,Feature owns API surface (auto-enriched).,partial,docs/architecture/nodes/api_routes.csv,Auto-enriched relation. Upgrade to verified when directly proven.,#auto #feature #api
